title,price,bhk,area_sqft,parking
10 BHK Independent House in Shahdara,52500000.0,10.0,4000.0,1.0
Rawat Luxurious Homes,22500000.0,4.0,,
Delhi Housing Affordable Homes,21.0,4.0,,
Goyal Lavish Dwarka,10000000.0,4.0,,
Jini Versatile,11600000.0,4.0,,
3.5 BHK Independent Builder Floor in Inder Puri,17000000.0,5.0,1150.0,1.0
4 BHK Flat in Vasant Kunj,52500000.0,4.0,2000.0,1.0
4 BHK Flat in Vasant Kunj,45000000.0,4.0,1800.0,1.0
Goyal Premium Floors,11000000.0,3.0,,
First Choice Realty Builder Floor,25.0,3.0,,
Shiv Mahima Luxury Floors,45.0,3.0,,
Setia Luxury Floors,50000000.0,4.0,,
Shiv Mahima Metro Floors,45.0,3.0,,
Jini Lavish Homes,30000000.0,4.0,,
Guru Ji Vipin Garden,40.0,2.0,,
S K Apartments,30.0,4.0,,
S K The Crest,18.0,4.0,,
Manish Affordable Homes,33.86,4.0,,
S K The Precious Floors,32.0,4.0,,
CHS Independent Apartment,90.0,3.0,,
Red Real Luxury Floors,35.0,3.0,,
The Styles Floors,25.0,4.0,,
S K Builder Floors,28.0,4.0,,
Happy Luxurious Homes Dwarka Mor,18.0,3.0,,
S Gambhir The Shubharambh,35.0,4.0,,
4 BHK Independent Builder Floor in Rohini Extension,25000000.0,4.0,2300.0,1.0
4 BHK Independent Builder Floor in Kailash Colony,90000000.0,4.0,2700.0,1.0
Aggarwal New Floors,12500000.0,4.0,,
3 BHK Independent Builder Floor in Sector 8 Dwarka,21500000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Lajpat Nagar,70000000.0,3.0,1800.0,1.0
Padam Punjabi Bagh Luxury Homes,32500000.0,4.0,,
3 BHK Independent Builder Floor in Sector 11 Rohini,15000000.0,3.0,1000.0,1.0
4 BHK Independent Builder Floor in Sector 11 Rohini,14500000.0,4.0,1200.0,1.0
4 BHK Independent Builder Floor in Rajpur,18000000.0,4.0,3000.0,1.0
4 BHK Independent Builder Floor in Defence Colony,170000000.0,4.0,3300.0,
3 BHK Independent Builder Floor in Defence Colony,82500000.0,3.0,2100.0,
3 BHK Flat in Sector 9 Dwarka,29800000.0,3.0,1450.0,
Goyal Apartment,50.0,3.0,,
3 BHK Flat in Sector 2 Dwarka,27500000.0,3.0,1600.0,
2 BHK Flat in Bharat Vihar,23500000.0,2.0,1400.0,
2 BHK Flat in Bharat Vihar,23800000.0,2.0,1500.0,
4 BHK Independent Builder Floor in Tagore Garden Extension,47500000.0,4.0,2448.0,1.0
Smart Luxury Floors,107500000.0,4.0,,
2 BHK Independent Builder Floor in Shastri Nagar,40.0,2.0,450.0,
Chadha Residency,35000000.0,4.0,,
Happy Luxury Homes,20.0,4.0,,
The Shiva Luxury Floors,35.84,4.0,,
3 BHK Flat in Dwarka Mor,53.0,3.0,1001.0,1.0
4 BHK Flat in Vikaspuri,26000000.0,4.0,1600.0,1.0
TARC Kailasaa,134200000.0,4.0,,
4 BHK Flat in Bharat Vihar,12500000.0,4.0,1300.0,1.0
Rathi Luxury Homes,10700000.0,4.0,,
Luxury Homes,10000000.0,4.0,,
4 BHK Flat in Sector 11 Dwarka,30500000.0,4.0,2300.0,
Puri Luxury Floors,17000000.0,4.0,,
OM Builders Floors,44000000.0,4.0,,
Shri Babosa Floors,18000000.0,4.0,,
3 BHK Independent Builder Floor in Kishan Ganj,41000000.0,3.0,2340.0,1.0
Suri Luxurious Homes,21500000.0,5.0,,
4 BHK Independent Builder Floor in Sector 25 Rohini,49000000.0,4.0,3600.0,1.0
Hardik Luxurious Floors,15500000.0,4.0,,
J R DevelopersSeller,17000000.0,4.0,,
3 BHK Independent Builder Floor in Sector 24 Rohini,13899999.999999998,3.0,1150.0,
3 BHK Independent Builder Floor in Shastri Nagar,10000000.0,3.0,720.0,1.0
3 BHK Flat in Burari,50.76,3.0,950.0,
Complete Myra Buildwell Apartment 2,14000000.0,4.0,,
Complete Myra Buildwell Apartment,14000000.0,4.0,,
Complete Home Solution pvt ltdSeller,90.0,3.0,,
TARC Tripundra,61900000.00000001,5.0,,
Mehta Villa Ananyata,30000000.0,4.0,,
Smart Luxury Floors,95000000.0,4.0,,
Chadha Luxurious Home,11100000.000000002,4.0,,
Shiv Mahima Floors,27.0,2.0,,
2 BHK Independent Builder Floor in Vikaspuri,10500000.0,2.0,756.0,
Setia Properties Builder Floors,35000000.0,3.0,,
Saluja Affordable Floors,20.0,4.0,,
Guru Ji Saste Floors,30.0,2.0,,
Mehta Urban Key Homes,30000000.0,4.0,,
The Affordable Floors,18.0,4.0,,
Aggarwal Floors,12000000.0,4.0,,
OM Luxury Floors,21000000.0,4.0,,
Goyal Luxury Homes,80.0,4.0,,
Chadha Infrastructure Club Road,70000000.0,4.0,,
Goyal Innovative Homes,90.0,4.0,,
Goyal Lavish Homes,65.0,4.0,,
New Lamba Affordable Homes,12500000.0,4.0,,
3 BHK Independent Builder Floor in Sector 8 Dwarka,17500000.0,3.0,1100.0,1.0
4 BHK Independent Builder Floor in Chittaranjan Park,40000000.0,4.0,1400.0,1.0
3 BHK Flat in Sector 10 Dwarka,25000000.0,3.0,1700.0,1.0
2 BHK Flat in Rajpur,70.0,2.0,1000.0,1.0
Chadha Unity Homes,25000000.0,3.0,,
3 BHK Independent Builder Floor in Vikaspuri,17000000.0,3.0,1125.0,
DPX Housing 1,22.0,2.0,,
Rathi Ultra Modern Builders Floor,10000000.0,4.0,,
Goyal 4BHK Apartment,90.0,4.0,,
4 BHK Independent Builder Floor in Tagore Garden Extension,24000000.0,4.0,2660.0,1.0
4 BHK Independent Builder Floor in Janakpuri,52000000.0,4.0,2050.0,1.0
Smart Luxury Floors,137500000.0,4.0,,
DLF One Midtown,43200000.0,4.0,,
5 BHK Duplex in Greater Kailash I,140000000.0,5.0,3700.0,
OM New Luxury Floors,17500000.0,4.0,,
J R Vaibhav Luxurious Floors,46000000.0,4.0,,
Setia Modern Floors,37500000.0,3.0,,
Hardik Green Valley Homes,22500000.0,4.0,,
Mehta Luxury Homes,30000000.0,4.0,,
Altura Safdarjung Enclave Luxury Builder Floors,65000000.0,3.0,,
2 BHK Independent Builder Floor in Sector 24 Rohini,72.5,2.0,720.0,1.0
Adarsh The Leela,70.0,3.0,,
Mehta Bella Casa,30000000.0,4.0,,
3 BHK Flat in Sector 19 Dwarka,28500000.0,3.0,1800.0,
Jini Housing,26000000.0,3.0,,
Rawat Affordable Floors,15500000.0,4.0,,
D S Metro View Apartment,12000000.0,3.0,,
Rawat Builders Floors,22000000.0,4.0,,
Apna Luxury Affordable Homes,27.0,3.0,,
G3 Luxurious Floors,35.0,4.0,,
Mehta Lumina Heights,45000000.0,4.0,,
G3 Builder Floor 1,47.23,4.0,,
Preeti Luxury Homes,24.0,3.0,,
Shrishti Luxury Homes,35000000.0,3.0,,
Infinity Innovations,35.0,3.0,,
Rudraa The Chryst,12000000.0,4.0,,
Rathi Elegant Homes,11600000.0,3.0,,
Smart Homz Luxury Floors in Vasant Vihar,130000000.0,4.0,,
1 BHK Independent Builder Floor in Hastsal,75.0,1.0,450.0,
Shri Shyam Dream Home,12500000.0,4.0,,
3 BHK Flat in Sector 6 Dwarka,26800000.0,3.0,1421.0,1.0
4 BHK Independent Builder Floor in Sector 8 Dwarka,26500000.0,4.0,1900.0,1.0
3 BHK Independent Builder Floor in Sector 8 Dwarka,31000000.0,3.0,1900.0,1.0
3 BHK Independent Builder Floor in Deenpur,60.0,3.0,1000.0,1.0
4 BHK Flat in Sector 4 Dwarka,38500000.0,4.0,2000.0,1.0
Shiv N Sai Luxury Homes,15000000.0,3.0,,
8 BHK Independent House in Dwarka Mor,22000000.0,8.0,910.0,
Suri Luxurious Homes,17500000.0,5.0,,
3 BHK Flat in Paschim Vihar,22500000.0,3.0,1298.0,1.0
,10000000.0,,,
Rawat New Luxurious Homes,22500000.0,4.0,,
Goyal Housing,80.0,4.0,,
Rawat Gaurav Builders Floors,10500000.0,4.0,,
DPX Lavish Homes,45.0,3.0,,
Aggarwal Luxurious Floors,21000000.0,5.0,,
Saluja The Precious Floors,24.0,4.0,,
Shiv Ganga Uttarakhand Builders,27.0,3.0,,
G3 Luxurious Floors ll,35.0,4.0,,
G3 Builders Floor,34.18,4.0,,
Shiv Mahima Affordable Floors,27.0,2.0,,
Diamonds Affordable Homes,35.0,4.0,,
Prem Affordable Floors,41.6,4.0,,
Hardik Luxurious Homes,12500000.0,4.0,,
Diamonds Affordable Homes 2,35.0,4.0,,
Puri Luxury Homes,23500000.0,4.0,,
Diamonds Home,28.23,4.0,,
2 BHK Independent Builder Floor in Dwarka Mor,35.0,2.0,600.0,1.0
2 BHK Flat in Rajpur Khurd Village,47.3,2.0,650.0,
2 BHK Flat in Rajpur,45.8,2.0,680.0,
2 BHK Flat in Rajpur Khurd Village,48.8,2.0,680.0,
3 BHK Independent Builder Floor in Deenpur,65.1,3.0,1080.0,1.0
3 BHK Independent Builder Floor in Deenpur,66.0,3.0,1080.0,1.0
3 BHK Independent Builder Floor in Deenpur,65.2,3.0,1080.0,1.0
3 BHK Flat in Burari,45.0,3.0,950.0,
3 BHK Independent Builder Floor in Sector 11 Rohini,19500000.0,3.0,1250.0,1.0
5 BHK Independent Builder Floor in Sector 11 Rohini,34500000.0,5.0,2250.0,1.0
4 BHK Independent Builder Floor in Sector 11 Rohini,25000000.0,4.0,1550.0,1.0
3 BHK Flat in Sector 12 Dwarka,32500000.0,3.0,2100.0,1.0
4 BHK Independent Builder Floor in Soami Nagar,90000000.0,4.0,1800.0,
4 BHK Independent Builder Floor in Sector 8 Dwarka,24000000.0,4.0,1900.0,1.0
4 BHK Independent Builder Floor in Defence Colony,125000000.0,4.0,2403.0,1.0
3 BHK Independent Builder Floor in Defence Colony,82500000.0,3.0,1953.0,1.0
3 BHK Independent Builder Floor in Rajouri Garden,17000000.0,3.0,1360.0,1.0
2 BHK Independent Builder Floor in Vikaspuri,85.0,2.0,756.0,
2 BHK Independent Builder Floor in Vikaspuri,11500000.0,2.0,756.0,
2 BHK Independent Builder Floor in Vikaspuri,10000000.0,2.0,756.0,
4 BHK Independent Builder Floor in Deenpur,10000000.0,4.0,1250.0,1.0
4 BHK Independent Builder Floor in Greater Kailash,90000000.0,4.0,2000.0,
3 BHK Independent Builder Floor in Defence Colony,85000000.0,3.0,1550.0,
3 BHK Independent Builder Floor in Defence Colony,82500000.0,3.0,1800.0,
3 BHK Independent Builder Floor in Deenpur,65.0,3.0,1080.0,
3 BHK Independent Builder Floor in Deenpur,65.0,3.0,1080.0,
1 BHK Flat in Rajpur,20.0,1.0,500.0,1.0
