Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Action Area 3,2,956,8,2,North - East,Freehold,New Property,Ready to Move,77,8054,1,0,0,Low
Kaikhali,3,1378,2,2,East,Freehold,New Property,Ready to Move,64.8,4700,0,1,0,Low
Action Area 3,2,956,14,2,North,Freehold,Resale,Ready to Move,80,8368,1,0,0,Low
Rajarhat,2,790,6,2,South - East,Freehold,Resale,Ready to Move,72,7407,1,0,0,Low
Action Area 1,3,996,1,3,North,Freehold,Resale,Ready to Move,250,17544,1,0,0,Mid
Ballygunge,2,1200,6,2,South - East,Freehold,Resale,Ready to Move,100,8333,0,1,0,Low
Konnagar,2,975,2,2,South -West,Freehold,New Property,Ready to Move,46.3,4750,1,0,1,Low
Eastern Metropolitan Bypass,4,3421,14,4,East,Freehold,Resale,Ready to Move,725,21193,1,0,0,High
Shyamnagar,3,1500,13,2,South -West,Freehold,Resale,Ready to Move,132,8684,0,1,0,Low
Eastern Metropolitan Bypass,3,1027,12,2,South,Freehold,Resale,Ready to Move,220,14360,1,1,0,Mid
Sector 5 Salt Lake City,3,1047,20,2,South - East,Freehold,Resale,Ready to Move,220,14696,1,0,0,Mid
Ballygunge Place,4,2500,4,4,North - East,Freehold,Resale,Ready to Move,1000,23652,1,1,1,High
Netaji Subhash Chandra Bose Road,3,1610,0,3,South -West,Freehold,Resale,Ready to Move,100,6211,0,0,0,Low
Santoshpur,3,1665,6,3,South - East,Freehold,Resale,Ready to Move,165,9910,1,0,0,Mid
Tollygunge,3,1050,4,2,North - East,Freehold,Resale,Ready to Move,45,3664,1,0,0,Low
Eastern Metropolitan Bypass,2,926,8,2,East,Freehold,Resale,Ready to Move,95,7851,1,0,0,Low
Block A Alipore,4,3443,2,4,South -West,Freehold,Resale,Ready to Move,1350,26601,1,1,1,High
Thakurpukur,3,1285,4,3,South - East,Freehold,Resale,Ready to Move,65,5058.36575875486,0,1,0,Low
Survey Park,3,900,6,2,South,Freehold,Resale,Ready to Move,110,8703,0,0,0,Low
Tollygunge,2,1000,3,2,South - East,Freehold,Resale,Ready to Move,85,7113,1,0,0,Low
Action Area 3,3,901,12,2,North - West,Freehold,Resale,Ready to Move,56.5,6271,1,1,0,Low
Uttarpara Ch,2,630,12,2,South - East,Freehold,New Property,Ready to Move,30,4762,1,1,1,Low
Thakurpukur,2,470,1,2,South - East,Freehold,Resale,Ready to Move,32,4124,0,1,0,Low
Action Area 3,3,1226,6,2,South - East,Freehold,Resale,Ready to Move,95,7749,1,0,0,Low
Anandapur,4,3600,,4,South - East,Freehold,New Property,Ready to Move,600,16667,1,0,0,High
Nayapatty,3,1100,15,3,South - East,Freehold,Resale,Ready to Move,150,10601,1,0,1,Low
Rajarhat,3,2250,,3,North - East,Freehold,New Property,Ready to Move,250,11111,1,1,0,Mid
New Alipore,3,1500,12,2,East,Unknown,New Property,Unknown,239,11131,1,1,1,Mid
Rajarhat,3,1650,5,4,South - East,Freehold,Resale,Ready to Move,165,7876,1,1,0,Mid
Southern Bypass,2,995,5,2,East,Freehold,New Property,Ready to Move,41,4121,1,1,0,Low
Ballygunge Circular Road,4,3927,7,4,South - East,Freehold,Resale,Ready to Move,1250,31831,0,1,0,High
Andul,2,560,1,2,South - East,Freehold,New Property,Ready to Move,24.5,3500,0,1,0,Low
Rajarhat,3,1613,6,3,East,Freehold,Resale,Ready to Move,85,5270,0,1,0,Low
Tollygunge,2,908,1,2,South,Power Of Attorney,Resale,Ready to Move,112,8000,1,1,0,Low
Tollygunge,4,2364,,3,South,Freehold,Resale,Ready to Move,425,17978,0,0,0,High
Rajarhat,2,890,,2,South,Freehold,Resale,Ready to Move,75,8152,1,1,0,Low
Narendrapur Rajpur Sonarpur,2,998,1,2,North - East,Freehold,Resale,Ready to Move,35,3507,1,0,0,Low
Rajarhat,2,1250,4,2,Unknown,Unknown,Resale,Ready to Move,80,6400,0,0,0,Low
Barrackpore Trunk Road,3,1014,11,2,South,Freehold,Resale,Ready to Move,61.5,6065,1,1,1,Low
Tollygunge,1,700,6,1,Unknown,Unknown,Resale,Ready to Move,40,5714.28571428571,0,0,0,Low
Block J Action Area 3,3,2200,14,3,Unknown,Unknown,Resale,Ready to Move,189,8591,0,0,0,Mid
Sealdah,3,1695,12,3,Unknown,Unknown,Resale,Ready to Move,220,12979,0,0,0,Mid
Kolkata,2,930,4,2,North - East,Freehold,New Property,Ready to Move,62,6667,0,1,0,Low
Rajpur,2,799,2,2,Unknown,Freehold,Resale,Ready to Move,24.8,2477,0,0,0,Low
Barrackpore,2,685,3,1,North - West,Freehold,Resale,Ready to Move,22,3212,0,1,0,Low
New Town,2,916,1,2,Unknown,Unknown,Resale,Ready to Move,65,7096,0,0,0,Low
Southern Avenue,4,2450,3,3,East,Freehold,New Property,Unknown,310,12653,0,1,0,Mid
Kolkata,3,1950,1,2,South - East,Freehold,Resale,Ready to Move,135,6923,0,1,0,Low
Gopalpur,2,717,1,2,North - West,Freehold,New Property,Unknown,43.8,4500,0,1,0,Low
Ballygunge,3,1958,4,3,Unknown,Unknown,New Property,Unknown,201,10291,0,0,0,Mid
Ballygunge,4,2109,2,4,Unknown,Unknown,New Property,Unknown,196,9300,0,0,0,Mid
Rajpur,2,869,1,2,Unknown,Unknown,New Property,Unknown,29.1,3350,0,0,0,Low
Maheshtala,2,895,1,2,Unknown,Unknown,New Property,Unknown,31.3,3500,0,0,0,Low
Shakespeare Sarani,4,2400,12,4,Unknown,Unknown,New Property,Unknown,435,18125,0,0,0,High
Shakespeare Sarani,4,2315,8,4,Unknown,Unknown,New Property,Unknown,428,18500,0,0,0,High
Ballygunge,3,1959,3,3,Unknown,Unknown,New Property,Unknown,182,9301,0,0,0,Mid
Loudon Street,3,3575,6,4,Unknown,Unknown,Resale,Ready to Move,625,17483,0,0,0,High
New Town,2,870,6,2,Unknown,Unknown,New Property,Unknown,37.4,4299,0,0,0,Low
Rajarhat,3,1309,8,2,Unknown,Unknown,Resale,Ready to Move,800,61115,0,0,0,High
Action Area 3,3,1093,1,2,Unknown,Unknown,New Property,Unknown,75,6862,0,0,0,Low
Thakurpukur,3,1353,4,2,Unknown,Unknown,New Property,Ready to Move,51.4,3800,0,0,0,Low
Madhyamgram,2,849,1,2,Unknown,Unknown,New Property,Unknown,30,3534,0,0,0,Low
New Town,2,870,4,2,Unknown,Unknown,New Property,Unknown,37.4,4300,0,0,0,Low
Madhyamgram,2,849,1,2,Unknown,Unknown,New Property,Unknown,29.6,3485,0,0,0,Low
Ultadanga,2,1064,1,2,Unknown,Unknown,Resale,Ready to Move,76,7143,0,0,0,Low
Tollygunge,2,889,2,2,Unknown,Unknown,Resale,Ready to Move,40,4499,0,0,0,Low
Rajarhat,2,980,2,2,North,Freehold,Resale,Ready to Move,100,9259,0,0,0,Low
Manoharpukur,3,1750,1,3,South - East,Freehold,New Property,Ready to Move,225,12857,0,1,0,Mid
Tangra,4,4196,20,4,Unknown,Unknown,Resale,Ready to Move,275,6554,0,0,0,Mid
Barrackpore Trunk Road,2,661,18,2,Unknown,Unknown,Resale,Unknown,65,9834,0,0,0,Low
Rajarhat,3,1175,9,2,Unknown,Unknown,Resale,Ready to Move,52,4426,0,0,0,Low
Patuli,3,1080,4,2,South,Freehold,Resale,Ready to Move,65,5417,0,1,0,Low
Mahish Bathan,3,1475,18,3,South,Freehold,Resale,Ready to Move,142,9627,0,0,1,Low
Rajarhat,2,1718,3,2,Unknown,Unknown,Resale,Ready to Move,120,6985,0,0,0,Low
Garia,3,1430,2,2,Unknown,Unknown,Resale,Ready to Move,46,3217,0,0,0,Low
Garia,2,918,1,2,Unknown,Unknown,Resale,Ready to Move,30,3268,0,0,0,Low
Madhyamgram,2,900,0,2,Unknown,Unknown,Resale,Ready to Move,28,3111,0,0,0,Low
Joka,2,745,3,2,East,Freehold,New Property,Unknown,26.1,3500,1,0,0,Low
New Town,3,1618,13,3,Unknown,Freehold,Resale,Ready to Move,170,10507,1,1,0,Mid
Jessore Road,3,1920,12,3,North - East,Freehold,Resale,Ready to Move,230,11979,1,0,0,Mid
Mukundapur,3,1200,2,2,Unknown,Unknown,Resale,Ready to Move,165,9874,0,0,0,Mid
Block EE Sector 2,2,850,1,2,Unknown,Unknown,Resale,Ready to Move,83,9222,0,0,0,Low
New Garia Station Road,2,875,2,2,East,Freehold,Resale,Ready to Move,48,5486,0,1,0,Low
Maheshtala,3,1377,3,3,Unknown,Unknown,Resale,Ready to Move,44,3195,0,0,0,Low
Joka,2,830,2,2,Unknown,Unknown,Resale,Unknown,60,7229,0,0,0,Low
Rajarhat,2,790,5,2,Unknown,Unknown,Resale,Ready to Move,40,4848,0,0,0,Low
Tangra,2,930,9,2,North - West,Freehold,Resale,Ready to Move,100,10753,1,0,1,Low
Santoshpur,3,800,1,2,South -West,Freehold,Resale,Ready to Move,60,5566,0,1,0,Low
Shapoorji Pallonji Sukhobrishti Complex Road,3,901,5,2,East,Freehold,Resale,Ready to Move,60,6659,1,0,0,Low
Baranagar,2,800,3,2,South,Freehold,Resale,Ready to Move,26,3250,0,0,0,Low
New Town,4,2420,22,4,South - East,Freehold,Resale,Ready to Move,250,7228,1,1,0,Mid
Kolkata,2,814,2,2,South - East,Freehold,Resale,Ready to Move,36.6,4500,0,0,0,Low
Bally,2,1183,2,2,Unknown,Unknown,Resale,Ready to Move,48,4057,0,0,0,Low
Paikpara,2,1086,16,2,North,Freehold,Resale,Ready to Move,110,7801,0,1,0,Low
Pashupati Bhattacharya Road,2,750,3,2,East,Freehold,New Property,Unknown,48,4800,0,1,0,Low
Bagnan Amta Road,2,800,2,2,Unknown,Freehold,Resale,Ready to Move,30,3000,0,1,0,Low
Kolkata,2,800,3,2,Unknown,Unknown,Resale,Ready to Move,31,3875,0,0,0,Low
Andul Mauri,2,1035,1,1,Unknown,Unknown,Resale,Unknown,39.5,3821,0,0,0,Low
Rajarhat,3,750,2,2,South - East,Freehold,Resale,Ready to Move,65,6500,1,0,1,Low
Tollygunge,2,699,5,2,Unknown,Unknown,Resale,Ready to Move,51,5835,0,0,0,Low
Rajarhat,3,1200,3,2,West,Unknown,Resale,Ready to Move,55,4583,0,0,0,Low
Bireshpally Madhyamgram,2,744,1,2,Unknown,Unknown,Resale,Ready to Move,24,3226,0,0,0,Low
Bijoygarh Golf Green,2,920,3,2,Unknown,Unknown,Resale,Ready to Move,45,4891,0,0,0,Low
Baghajat,2,954,1,2,South -West,Freehold,Resale,Ready to Move,51,5346,0,0,0,Low
Rajarhat,2,765,3,2,Unknown,Unknown,Resale,Ready to Move,70,7143,0,0,0,Low
Rajpur Sonarpur,3,973,5,2,South - East,Freehold,Resale,Ready to Move,100,7899,0,0,1,Low
Barrackpore,2,732,1,2,South - East,Freehold,Resale,Ready to Move,28,3294,0,0,0,Low
New Town,3,1107,4,2,Unknown,Co-operative Society,Resale,Ready to Move,80,6020,0,0,0,Low
Narendrapur Rajpur Sonarpur,3,1315,3,2,Unknown,Unknown,Resale,Ready to Move,50,3802,0,0,0,Low
Bangur Avenue,2,862,1,2,Unknown,Unknown,Resale,Ready to Move,49.5,5742,0,0,0,Low
Rajarhat,3,1606,3,2,East,Freehold,Resale,Ready to Move,120,7472,0,1,1,Low
Lake Gardens,2,450,3,1,Unknown,Unknown,Resale,Ready to Move,20,4000,0,0,0,Low
Kestopur,3,1350,4,2,North - East,Freehold,Resale,Ready to Move,67.5,4470,0,1,0,Low
Silpara,2,910,4,2,South,Freehold,Resale,Ready to Move,45,4945,1,1,0,Low
Tollygunge,2,638,3,2,South - East,Freehold,Resale,Ready to Move,30,4000,0,1,0,Low
Haridevpur,2,717,3,2,Unknown,Unknown,Resale,Ready to Move,18.5,2580,0,0,0,Low
Ichapur Howrah,2,676,3,2,Unknown,Unknown,Resale,Ready to Move,30,3774,0,0,0,Low
Garia,3,1077,4,2,Unknown,Unknown,Resale,Ready to Move,68,6314,1,0,0,Low
Action Area 2,3,1550,4,3,South -West,Freehold,Resale,Ready to Move,92,5935,0,1,0,Low
Amtala,3,1355,4,2,Unknown,Unknown,Resale,Ready to Move,48,3542,0,0,0,Low
Naskar Bagan,1,485,2,1,Unknown,Unknown,Resale,Ready to Move,22,4536,0,0,0,Low
Kabardanga,3,1250,4,2,South,Freehold,Resale,Ready to Move,43,3413,1,1,0,Low
Action Area 1,2,850,1,2,North,Co-operative Society,Resale,Ready to Move,70,7625,0,1,0,Low
Noapara,3,835,1,2,South - East,Freehold,Resale,Ready to Move,45.6,3800,1,1,0,Low
Rajarhat,3,836,3,2,North - East,Freehold,Resale,Ready to Move,150,11619,1,0,0,Low
Kankurgachi,3,880,4,2,Unknown,Unknown,Resale,Ready to Move,140,10145,0,0,0,Low
Kustia,3,970,2,3,Unknown,Unknown,Resale,Ready to Move,42,4330,0,0,0,Low
Kankurgachi,3,880,4,2,East,Freehold,Resale,Ready to Move,140,10145,0,0,0,Low
Tegharia Baguiati,1,350,0,1,East,Freehold,Resale,Ready to Move,16.5,4714,1,0,0,Low
Kolkata,2,411,2,2,South - East,Freehold,Resale,Unknown,45,6618,0,1,0,Low
Action Area 2,2,962,5,2,South,Freehold,Resale,Ready to Move,95,7897,1,0,0,Low
Nayabad,3,1004,2,2,South,Freehold,New Property,Ready to Move,45.2,4500,1,1,0,Low
Gariahat,3,1650,3,3,East,Freehold,Resale,Ready to Move,260,11818,0,1,0,Mid
Action Area 3,3,1588,10,3,South -West,Freehold,Resale,Ready to Move,135,8501,0,1,0,Low
Bablatala,2,810,1,2,East,Freehold,New Property,Ready to Move,28.4,3500,0,1,0,Low
Rajarhat,1,217,2,1,South - East,Freehold,New Property,Unknown,7.6,2815,0,1,0,Low
Topsia,3,1675,9,3,South - East,Freehold,Resale,Ready to Move,180,10746,1,1,0,Mid
New Town,2,950,1,2,South - East,Freehold,Resale,Ready to Move,82,6560,1,1,0,Low
Chiriamore,3,1300,18,3,North - East,Freehold,Resale,Ready to Move,225,11538,1,0,1,Mid
Naktala,2,800,0,1,South - East,Freehold,Resale,Ready to Move,36,4500,1,1,0,Low
Howrah,2,749,8,2,West,Unknown,Resale,Ready to Move,40,5340,1,0,0,Low
Action Area 1C,3,1100,7,2,South - East,Co-operative Society,Resale,Ready to Move,120,7273,0,1,0,Low
Bishnupur Rajarhat,3,952,2,2,South,Freehold,New Property,Unknown,40.6,3200,1,1,1,Low
Bhowanipore,3,1000,5,2,North,Freehold,Resale,Ready to Move,175,13672,0,1,0,Mid
Behala Thana,2,650,2,2,South,Freehold,Resale,Ready to Move,36,4800,0,1,0,Low
Kolkata,2,850,2,2,South,Freehold,Resale,Ready to Move,30,3158,0,1,0,Low
Daksh,3,1379,8,2,Unknown,Freehold,New Property,Ready to Move,69,5000,1,1,1,Low
Park Street,2,1400,7,2,South - East,Freehold,Resale,Ready to Move,140,10000,0,0,0,Low
Haridevpur,2,900,4,2,South -West,Freehold,Resale,Ready to Move,60,5455,0,1,0,Low
New Alipore,3,1900,3,3,North,Freehold,New Property,Unknown,280,14737,0,1,0,Mid
Sector 5 Salt Lake City,2,716,14,2,South - East,Freehold,Resale,Ready to Move,130,12695,1,1,1,Low
Uttar Para,3,840,5,2,North - East,Freehold,New Property,Unknown,48,5714,1,0,0,Low
Dum Dum,3,1750,4,2,South - East,Freehold,New Property,Unknown,84,4800,0,1,0,Low
Sector 4 Salt Lake City,2,600,2,1,North - East,Leasehold,New Property,Ready to Move,18,2647,0,1,0,Low
Garia,2,930,2,2,South - East,Freehold,New Property,Ready to Move,35.3,3800,0,1,0,Low
Golf Club Road,3,950,4,2,Unknown,Unknown,Resale,Ready to Move,95,8636,1,1,1,Low
New Alipore,3,1985,1,3,East,Freehold,New Property,Ready to Move,250,12594,0,1,0,Mid
Mahamaya Tala,3,1408,2,3,South - East,Freehold,Resale,Ready to Move,105,7457,0,1,0,Low
Rajarhat,3,1210,8,2,South -West,Freehold,Resale,Ready to Move,105,8678,0,1,0,Low
Eastern Metropolitan Bypass,4,2600,5,4,South - East,Freehold,Resale,Ready to Move,218,8385,1,1,1,Mid
Mali Bagan Kaikhali,4,940,1,3,North - West,Unknown,Resale,Ready to Move,84.6,5845,0,0,0,Low
Naktala,3,1675,2,2,South - East,Freehold,Resale,Ready to Move,140,8358,0,1,0,Low
New Town,3,1250,2,2,North - East,Unknown,New Property,Ready to Move,95,7600,1,0,0,Low
Bhowanipore,2,1150,3,2,North,Freehold,Resale,Ready to Move,120,10435,0,1,0,Low
North 24 Parganas,2,768,2,1,Unknown,Freehold,Resale,Ready to Move,15,1953,0,0,0,Low
Belghoria Expressway,3,1300,6,2,North,Unknown,Resale,Ready to Move,80,6154,1,0,0,Low
Jessore Road,1,548,2,1,Unknown,Unknown,Resale,Ready to Move,40,7299,0,0,0,Low
Barrackpore Trunk Road,3,1138,8,2,Unknown,Unknown,Resale,Ready to Move,95,8348,0,0,0,Low
Howrah,2,832,2,2,Unknown,Unknown,Resale,Ready to Move,35,4206.73076923077,1,1,1,Low
Andul Road,2,850,2,2,South,Freehold,New Property,Ready to Move,20,2353,1,1,0,Low
Tollygunge Phari,2,850,1,2,Unknown,Unknown,Resale,Ready to Move,50,5882,0,0,0,Low
Dum Dum Road,3,930,2,2,Unknown,Unknown,Resale,Ready to Move,20,2151,0,0,0,Low
Vidyasagar,4,1450,3,4,Unknown,Freehold,Resale,Ready to Move,80,4706,0,1,0,Low
Rajpur Sonarpur,2,972,5,2,Unknown,Unknown,Resale,Ready to Move,60,6173,0,0,0,Low
Kamalgazi,2,580,0,2,Unknown,Unknown,Resale,Ready to Move,28.5,4385,0,0,0,Low
Bhangar,3,916,4,2,Unknown,Unknown,Resale,Ready to Move,20,2183,0,0,0,Low
Action Area 1,2,650,5,2,North,Freehold,Resale,Ready to Move,130,20000,0,0,0,Low
Belgachia,4,1600,13,3,South -West,Freehold,Resale,Ready to Move,115,7188,1,1,1,Low
New Town,3,1768,2,2,South - East,Freehold,Resale,Ready to Move,125,7070,1,0,0,Low
Dum Dum Cantonment,2,650,1,2,South - East,Power Of Attorney,Resale,Ready to Move,27,3230,0,1,0,Low
Sirity,2,720,0,2,North - East,Power Of Attorney,Resale,Ready to Move,27,3176,0,0,0,Low
Howrah,3,950,3,2,East,Freehold,Resale,Ready to Move,48.5,3757,1,0,0,Low
New Town,3,1500,1,2,North,Freehold,Resale,Ready to Move,95,6333,0,0,0,Low
Naktala,2,500,3,2,South - East,Freehold,Resale,Ready to Move,18,2769,0,1,0,Low
Rajarhat,4,1265,1,3,South,Freehold,Resale,Ready to Move,105,5303,1,1,0,Low
Golf Green,3,1447,6,3,East,Freehold,Resale,Ready to Move,120,8293.0200414651,0,1,0,Low
Sealdah,3,1605,16,3,North - East,Freehold,Resale,Ready to Move,215,13396,0,1,0,Mid
New Town,3,1956,11,3,South - East,Freehold,Resale,Ready to Move,175,8947,1,1,0,Mid
Eastern Metropolitan Bypass,2,800,1,2,South - East,Unknown,Resale,Ready to Move,27,3375,0,1,0,Low
Tangra,4,2302,11,4,Unknown,Freehold,Resale,Ready to Move,210,9123,1,1,1,Mid
Action Area 1,3,950,11,2,North - East,Freehold,Resale,Ready to Move,73,6636,1,1,0,Low
Rajarhat,3,1186,10,2,North - West,Freehold,Resale,Ready to Move,56,4722,1,1,1,Low
Ballygunge,3,900,4,3,North - East,Freehold,New Property,Ready to Move,140,11700,0,1,0,Low
South End Park,2,1000,3,2,North - East,Freehold,Resale,Ready to Move,80,8000,0,1,0,Low
Block L New Alipore,3,1080,10,3,South - East,Leasehold,New Property,Unknown,262,14050,1,1,1,Mid
Santoshpur,2,930,1,2,South -West,Freehold,Resale,Ready to Move,35,3763,1,1,0,Low
Rajarhat,4,1778,1,3,South,Freehold,Resale,Ready to Move,120,6749,1,0,0,Low
Action Area 1,3,1280,2,2,South,Freehold,New Property,Ready to Move,80,6250,1,1,0,Low
Survey Park,3,1145,2,3,South - East,Freehold,Resale,Ready to Move,75,6550,0,0,0,Low
Kolkata,3,1500,1,2,South - East,Unknown,Resale,Ready to Move,85,5152,0,1,0,Low
Ballygunge Place,3,2020,3,5,North - East,Freehold,New Property,Ready to Move,230,10360,0,1,0,Mid
Uttarpara Ch,3,840,7,2,South -West,Freehold,Resale,Ready to Move,40,4762,1,0,0,Low
Kolkata,2,500,1,1,West,Freehold,Resale,Ready to Move,22,3667,0,1,0,Low
Camac Street,2,650,4,2,Unknown,Unknown,Resale,Ready to Move,98,11879,0,1,0,Low
Parnasree Palli,2,701,1,2,South - East,Freehold,Resale,Ready to Move,32,4330,0,1,0,Low
Jessore Road,4,2317,5,3,North - East,Freehold,Resale,Ready to Move,210,9063,1,0,0,Mid
Kolkata,2,1280,12,2,South - East,Co-operative Society,Resale,Ready to Move,120,9375,1,1,0,Low
Action Area 1C,3,1100,7,2,South - East,Co-operative Society,Resale,Ready to Move,120,8276,0,1,0,Low
Nagerbazar,2,452,5,2,South,Freehold,Resale,Ready to Move,75,10776,1,1,0,Low
Sealdah,3,1605,15,3,North - East,Freehold,Resale,Ready to Move,200,12461,1,1,1,Mid
Kolkata,2,649,1,2,South,Freehold,New Property,Ready to Move,54.1,6251,0,1,0,Low
Kamalgazi,2,600,10,2,East,Freehold,Resale,Ready to Move,55,5889,1,0,0,Low
Rowland Row,4,3600,6,4,West,Freehold,New Property,Ready to Move,700,19444,0,0,0,High
Action Area 3,1,425,2,1,North,Unknown,Resale,Ready to Move,23.5,5529,1,0,0,Low
Naktala,2,600,3,2,North - West,Freehold,New Property,Unknown,42,4941,0,0,0,Low
New Town,4,2000,1,3,North,Freehold,New Property,Ready to Move,160,7273,0,1,0,Mid
Khardaha,2,648,2,2,Unknown,Freehold,New Property,Ready to Move,23,2601,0,0,0,Low
Rajarhat,1,460,3,1,Unknown,Freehold,Resale,Ready to Move,22,4782.60869565217,1,0,0,Low
Carry Road,2,530,2,2,North,Power Of Attorney,New Property,Ready to Move,21.2,3259,0,1,0,Low
Kadapara,3,1286,7,3,East,Freehold,Resale,Ready to Move,200,10881,0,0,1,Mid
Rath Tala Kasba,3,880,1,2,East,Freehold,New Property,Ready to Move,49.5,4500,0,1,0,Low
Phool Bagan Kankurgachi,2,1000,3,1,South - East,Freehold,Resale,Ready to Move,100,8333,0,1,0,Low
Sodepur,3,1300,1,2,North - East,Freehold,New Property,Ready to Move,34,2615,0,1,0,Low
Action Area 1,3,1485,1,3,North,Freehold,Resale,Ready to Move,110,6627,1,0,1,Low
Action Area 1,3,950,3,2,Unknown,Unknown,New Property,Ready to Move,85,6800,0,1,0,Low
Sakher Bazar,2,650,3,2,South -West,Freehold,Resale,Ready to Move,34,5231,0,0,0,Low
Gandhi Colony,3,780,1,2,Unknown,Unknown,New Property,Unknown,70.8,6808,0,0,0,Low
Kolkata,3,900,2,2,Unknown,Unknown,Resale,Ready to Move,55,5093,0,0,0,Low
New Town,3,1100,2,2,South - East,Freehold,New Property,Unknown,85,5743,1,0,0,Low
Action Area 1,2,700,3,2,East,Freehold,Resale,Ready to Move,72,7742,0,1,0,Low
Hiland Park,4,2450,5,4,South - East,Freehold,Resale,Ready to Move,240,9795.91836734694,0,1,0,Mid
Sector 2 Salt Lake City,4,1700,1,3,South - East,Freehold,Resale,Ready to Move,220,8462,1,1,0,Mid
Tangra,2,1100,6,2,Unknown,Unknown,Resale,Ready to Move,125,11409,1,0,1,Low
Nabapally Barasat,3,1000,3,2,South,Freehold,New Property,Ready to Move,62.5,5000,0,1,0,Low
Kolkata,3,1050,1,2,South - East,Freehold,Resale,Ready to Move,80,6601,1,1,1,Low
Eastern Metropolitan Bypass,4,1966,5,3,Unknown,Unknown,Resale,Ready to Move,255,12970,0,0,0,Mid
Southern Avenue,4,2342,10,3,East,Unknown,New Property,Ready to Move,365,15585,0,1,1,Mid
New Town,3,1500,10,2,South,Freehold,Resale,Ready to Move,200,13333,1,1,1,Mid
Rajarhat,4,2127,2,3,Unknown,Unknown,Resale,Ready to Move,100,4701,0,0,0,Low
Bramhapur,2,700,1,2,South,Freehold,Resale,Ready to Move,28,3500,0,0,0,Low
Tollygunge,3,2400,5,3,North - East,Freehold,Resale,Ready to Move,211,8792,0,1,0,Mid
New Town,4,1558,8,5,North - East,Freehold,Resale,Ready to Move,275,11957,1,1,1,Mid
Tegharia Baguiati,3,1342,4,3,South - East,Unknown,New Property,Ready to Move,65,4844,0,0,1,Low
Beleghata,2,803,2,2,East,Freehold,New Property,Unknown,50.6,6300,0,1,0,Low
Bijoygarh,2,880,2,2,Unknown,Unknown,Resale,Ready to Move,36,4091,0,0,0,Low
Baishnabghata Patuli Township,2,755,3,2,Unknown,Freehold,New Property,Ready to Move,32,4239,0,0,0,Low
Action Area 1,3,1180,4,2,North - East,Unknown,Resale,Ready to Move,120,8276,1,1,0,Low
Rajarhat,2,1100,1,2,Unknown,Unknown,Resale,Ready to Move,52,4727,0,0,0,Low
Park Circus,3,1300,13,2,South -West,Freehold,Resale,Ready to Move,140,9689,1,1,1,Low
Shibrampur,3,1110,7,2,Unknown,Unknown,Resale,Ready to Move,70,6306,0,0,0,Low
Jadavpur,2,920,0,2,Unknown,Unknown,Resale,Ready to Move,45,4592,0,0,0,Low
Bidhanpally Bansdroni,2,890,4,2,Unknown,Freehold,Resale,Ready to Move,50,5618,0,0,0,Low
New Alipore,3,1050,5,2,South - East,Freehold,Resale,Ready to Move,90,6977,0,1,0,Low
Khardaha,2,880,3,2,North,Freehold,Resale,Ready to Move,26,2955,0,1,0,Low
Sahid Nagar,4,2400,2,3,North - East,Power Of Attorney,Resale,Ready to Move,145,6042,1,1,0,Low
Naktala,2,680,2,1,North,Freehold,Resale,Ready to Move,30,4412,0,0,0,Low
Action Area 1,4,1680,3,4,Unknown,Unknown,Resale,Ready to Move,150,6726,0,0,0,Low
Eastern Metropolitan Bypass,4,2048,17,4,East,Freehold,Resale,Ready to Move,300,10249,1,1,0,Mid
Seal Lane Tangra,3,1133,,2,Unknown,Freehold,Resale,Ready to Move,165,14563,0,0,0,Mid
Rajarhat,3,1260,19,2,South,Freehold,Resale,Ready to Move,120,9524,0,0,0,Low
South City Complex,3,1100,1,2,South,Unknown,New Property,Ready to Move,95,7916,0,1,0,Low
Bosepukur,2,700,4,2,North - East,Freehold,Resale,Ready to Move,50,5556,0,1,0,Low
Garia,3,1166,1,3,East,Freehold,Resale,Ready to Move,54,4631,1,1,1,Low
Mondal Ganthi,2,850,3,2,North - East,Freehold,New Property,Ready to Move,26,3059,0,1,0,Low
Abhedananda Road,3,1589,3,2,Unknown,Freehold,Resale,Ready to Move,150,9439.89930774072,0,0,0,Low
Narendrapur Rajpur Sonarpur,2,918,4,2,Unknown,Unknown,Resale,Ready to Move,38,4139,0,0,0,Low
New Town,4,1150,11,3,East,Freehold,Resale,Ready to Move,230,14801,1,1,0,Mid
MM Ghosh Road,2,925,3,2,South - East,Freehold,Resale,Ready to Move,32,3459,0,0,0,Low
Rajpur Sonarpur,2,575,3,1,Unknown,Unknown,Resale,Ready to Move,18.5,2960,0,0,0,Low
Durga Nagar,3,1458,2,3,Unknown,Unknown,Resale,Ready to Move,65,4458,0,0,0,Low
Uttarpara Ch,3,1119,1,2,Unknown,Unknown,Resale,Ready to Move,52,4647,0,0,0,Low
Mahish Bathan,3,1505,10,3,Unknown,Unknown,Resale,Ready to Move,130,8638,0,0,0,Low
Manicktala,4,2903,17,4,Unknown,Freehold,Resale,Ready to Move,375,12918,0,0,0,Mid
Gopalpur,3,1535,4,3,Unknown,Unknown,Resale,Unknown,130,8469.05537459283,0,0,0,Low
Lake Town,2,985,9,2,East,Freehold,Resale,Unknown,100,10152,0,0,0,Low
