Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Mukundapur,3,2336,22,3,South - East,Freehold,Resale,Ready to Move,500,17117,0,1,0,High
Khidirpur,3,1100,2,2,Unknown,Unknown,Resale,Ready to Move,80,7273,0,0,0,Low
Haltu,2,900,1,2,South - East,Freehold,Resale,Ready to Move,68,6538,0,1,0,Low
South K Deb Road,2,707,4,2,South -West,Freehold,Resale,Ready to Move,35,4950.49504950495,1,0,0,Low
Netaji Nagar,2,586,0,1,East,Freehold,Resale,Ready to Move,18,3072,0,0,0,Low
Kudghat,2,450,3,1,West,Freehold,Resale,Ready to Move,19,3592,0,1,0,Low
Kolkata,3,1050,1,3,Unknown,Leasehold,Resale,Ready to Move,120,7059,0,1,0,Low
Parui Mauza,3,785,1,2,South,Freehold,Resale,Ready to Move,42,3801,1,1,0,Low
Khardaha,2,670,2,2,Unknown,Unknown,Resale,Ready to Move,18.5,2256,0,0,0,Low
Alipore,2,760,2,2,South - East,Freehold,New Property,Ready to Move,40,5263,1,1,0,Low
Kolkata,1,500,4,1,Unknown,Unknown,Resale,Ready to Move,13,2167,0,0,0,Low
Action Area 1,2,950,1,2,East,Co-operative Society,New Property,Ready to Move,65,6842,1,1,0,Low
Rajarhat,3,916,7,2,Unknown,Unknown,Resale,Ready to Move,30,3275,0,0,0,Low
Behala Thana,4,945,0,2,Unknown,Unknown,Resale,Ready to Move,35,2800,0,0,0,Low
Action Area 1,3,1100,5,3,North - East,Freehold,Resale,Ready to Move,120,7317,0,1,0,Low
Boral,2,750,1,2,South - East,Freehold,New Property,Ready to Move,27,3600,0,1,0,Low
Baidyabati,3,950,4,2,Unknown,Unknown,Resale,Ready to Move,30,3158,0,0,0,Low
Bhowanipore,2,1470,3,2,North,Freehold,Resale,Ready to Move,250,17007,1,1,0,Mid
Action Area 2,2,1553,9,2,Unknown,Unknown,Resale,Ready to Move,130,8371,0,0,0,Low
Barrackpore,2,765,1,2,Unknown,Unknown,Resale,Ready to Move,44,4004,0,0,0,Low
Narendrapur Rajpur Sonarpur,2,494,1,2,Unknown,Unknown,Resale,Ready to Move,34,4444,0,0,0,Low
Barrackpore Trunk Road,3,1200,1,2,East,Freehold,Resale,Ready to Move,70,5833,1,1,1,Low
Philips Colony,2,610,2,1,Unknown,Freehold,Resale,Ready to Move,18,2951,0,0,0,Low
Madurdaha Ma,2,600,3,2,South -West,Freehold,New Property,Ready to Move,48,5955,0,1,0,Low
Rajarhat,3,1315,1,3,Unknown,Unknown,Resale,Ready to Move,65,4943,0,0,0,Low
Gariahat,2,550,2,1,East,Freehold,Resale,Ready to Move,14,2154,0,0,0,Low
Rajarhat,2,637,0,1,South - East,Freehold,Resale,Ready to Move,25,3333,0,0,0,Low
Kolkata,2,987,1,2,Unknown,Freehold,Resale,Ready to Move,41,4154,0,0,0,Low
Senhati Colony,2,710,3,2,West,Freehold,New Property,Ready to Move,45,5114,0,0,0,Low
Kolkata,3,950,3,2,South,Freehold,Resale,Ready to Move,65,5856,0,0,0,Low
Action Area 3,3,1450,1,2,Unknown,Unknown,Resale,Unknown,82,5655,0,0,0,Low
Action Area 1,4,1000,5,3,East,Co-operative Society,New Property,Unknown,101,6580,0,1,0,Low
Sinthi,1,600,3,1,South - East,Freehold,Resale,Ready to Move,27,3857,0,1,0,Low
Loudon Street,2,1594,,2,Unknown,Unknown,Resale,Unknown,40.8,2560,0,0,0,Low
Mourigram,3,1356,5,3,North - East,Freehold,Resale,Ready to Move,38,2800,0,1,0,Low
Rajarhat,2,755,4,2,South - East,Freehold,Resale,Ready to Move,22,2914,1,1,1,Low
New Town,2,578,4,1,South - East,Freehold,Resale,Ready to Move,28,4112,0,1,0,Low
Kolkata,2,1066,1,2,Unknown,Unknown,Resale,Ready to Move,120,11257,0,0,0,Low
Bhadrakali,2,800,4,2,North,Freehold,Resale,Ready to Move,15,1765,0,0,0,Low
Bhangar,1,451,4,1,Unknown,Unknown,Resale,Ready to Move,13,2882,0,0,0,Low
Entally,2,650,0,2,South - East,Freehold,Resale,Ready to Move,66,8250,1,0,0,Low
Nagerbazar,2,772,3,2,North - East,Freehold,Resale,Ready to Move,25,3125,1,1,0,Low
Madhyamgram,3,1176,4,2,South,Freehold,Resale,Ready to Move,39,3316,1,0,0,Low
Kolkata,4,1700,3,4,Unknown,Co-operative Society,Resale,Ready to Move,85,4250,0,0,0,Low
Maheshtala,3,1515,5,3,East,Freehold,Resale,Ready to Move,55,3387,1,1,0,Low
Behala,2,750,1,2,North,Freehold,Resale,Ready to Move,28,3733,0,1,0,Low
Sahid Khudiram Bose Sarani,2,546,3,1,South,Freehold,Resale,Ready to Move,30.1,4673,0,1,0,Low
Kalyani,3,1100,3,2,Unknown,Unknown,Resale,Ready to Move,45,3147,0,0,0,Low
Joka,2,900,3,2,North - West,Unknown,Resale,Ready to Move,45,5000,0,1,0,Low
New Alipore,3,897,3,2,Unknown,Unknown,Resale,Ready to Move,70,6796,0,0,0,Low
Ranaghat,3,1350,3,3,East,Freehold,Resale,Ready to Move,49,2988,0,1,0,Low
Kolkata,3,1155,2,2,East,Freehold,Resale,Ready to Move,80,6926,0,1,0,Low
Purbalok,2,568,4,2,South,Freehold,Resale,Ready to Move,39,5493,0,1,0,Low
Narendrapur Rajpur Sonarpur,3,715,1,2,South -West,Freehold,Resale,Ready to Move,45,4091,1,1,1,Low
Seal Lane Tangra,1,457,1,1,North,Freehold,Resale,Ready to Move,15,3282,0,0,0,Low
Nandan Kanan Santoshpur,2,700,1,2,Unknown,Freehold,Resale,Ready to Move,45,6428.57142857143,0,1,0,Low
