Name,Price,Square,Super Area,Status,Bathroom,Floor,Overlooking,Facing,Car Parking,Balcony,Society,Ownership,Transaction
"2 BHK Flat  for Sale in  Loudon Street, Kolkata",₹40.8 Lac ,"₹2,560 per sqft ",1594 sqft,,2,,,,,,,,Resale
"3 BHK Flat  for Sale in  Mourigram, Kolkata",₹38 Lac ,"₹2,800 per sqft ",1356 sqft,Ready to Move,3,5 out of 6,Main Road,North - East,,1,Ackruti Geetobitan,Freehold,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹22 Lac ,"₹2,914 per sqft ",755 sqft,Ready to Move,2,4 out of 4,"Garden/Park, Pool, Main Road",South - East,,1,Macwel Ushali Amar Thikana,Freehold,Resale
"2 BHK Flat  for Sale in  New Town, Kolkata",₹28 Lac ,"₹4,112 per sqft ",578 sqft,Ready to Move,1,4 out of 4,Main Road,South - East,,1,GM Meena Surya,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹1.20 Cr ,"₹11,257 per sqft ",1066 sqft,Ready to Move,2,1 out of 4,,,,,,,Resale
"2 BHK Flat  for Sale in  Bhadrakali, Kolkata",₹15 Lac ,"₹1,765 per sqft ",800 sqft,Ready to Move,2,4 out of 4,,North,,1,Sibtala Lalbari,Freehold,Resale
"1 BHK Flat  for Sale in  Bhangar, Kolkata",₹13 Lac ,"₹2,882 per sqft ",451 sqft,Ready to Move,1,4 out of 4,,,,,,,Resale
"2 BHK Flat  for Sale in  Entally, Kolkata",₹66 Lac ,"₹8,250 per sqft ",650 sqft,Ready to Move,2,Ground out of 2,Garden/Park,South - East,,,,Freehold,Resale
"2 BHK Flat  for Sale in  Nagerbazar, Kolkata",₹25 Lac ,"₹3,125 per sqft ",772 sqft,Ready to Move,2,3 out of 3,"Garden/Park, Main Road",North - East,,1,Mrinmoyee Apartment,Freehold,Resale
"3 BHK Flat  for Sale in  Madhyamgram, Kolkata",₹39 Lac ,"₹3,316 per sqft ",1176 sqft,Ready to Move,2,4 out of 4,Garden/Park,South,,2,Fortune City,Freehold,Resale
4 BHK Flat  for Sale in   Kolkata,₹85 Lac ,"₹4,250 per sqft ",1700 sqft,Ready to Move,4,3 out of 5,,,,2,,Co-operative Society,Resale
"3 BHK Flat  for Sale in  Maheshtala, Kolkata",₹55 Lac ,"₹3,387 per sqft ",1515 sqft,Ready to Move,3,5 out of 15,"Garden/Park, Main Road",East,,1,Eden City Maheshtala,Freehold,Resale
"2 BHK Flat  for Sale in  Behala, Kolkata",₹28 Lac ,"₹3,733 per sqft ",750 sqft,Ready to Move,2,1 out of 3,Main Road,North,,1,Matri Neer,Freehold,Resale
"2 BHK Flat  for Sale in  Sahid Khudiram Bose Sarani, Kolkata",₹30.1 Lac ,"₹4,673 per sqft ",546 sqft,Ready to Move,1,3 out of 3,Main Road,South,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Kalyani, Kolkata",₹45 Lac ,"₹3,147 per sqft ",1100 sqft,Ready to Move,2,3 out of 5,,,,2,,,Resale
"2 BHK Flat  for Sale in  Joka, Kolkata",₹45 Lac ,"₹5,000 per sqft ",900 sqft,Ready to Move,2,3 out of 4,Main Road,North - West,,1,Ankita Apartment,,Resale
"3 BHK Flat  for Sale in  New Alipore, Kolkata",₹70 Lac ,"₹6,796 per sqft ",897 sqft,Ready to Move,2,3 out of 4,,,,,,,Resale
"3 BHK Flat  for Sale in  Ranaghat, Kolkata",₹49 Lac ,"₹2,988 per sqft ",1350 sqft,Ready to Move,3,3 out of 4,Main Road,East,,2,,Freehold,Resale
3 BHK Flat  for Sale in   Kolkata,₹80 Lac ,"₹6,926 per sqft ",1155 sqft,Ready to Move,2,2 out of 3,Main Road,East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Purbalok, Mukundapur, Kolkata",₹39 Lac ,"₹5,493 per sqft ",568 sqft,Ready to Move,2,4 out of 5,Main Road,South,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Narendrapur Rajpur Sonarpur, Kolkata",₹45 Lac ,"₹4,091 per sqft ",715 sqft,Ready to Move,2,1 out of 4,"Garden/Park, Pool, Main Road",South -West,,1,Su Casa Unique,Freehold,Resale
"1 BHK Flat  for Sale in  Seal Lane Tangra, Kolkata",₹15 Lac ,"₹3,282 per sqft ",457 sqft,Ready to Move,1,1 out of 4,,North,,,,Freehold,Resale
"2 BHK Flat  for Sale in  Nandan Kanan Santoshpur, Kolkata",₹45 Lac ,,700 sqft,Ready to Move,2,1 out of 4,Main Road,,,,,Freehold,Resale
"2 BHK Flat  for Sale in  Motijheel Avenue, Kolkata",₹40 Lac ,"₹3,876 per sqft ",850 sqft,Ready to Move,2,4 out of 4,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Barasat, Kolkata",₹34 Lac ,"₹3,189 per sqft ",850 sqft,Ready to Move,2,4 out of 4,"Pool, Main Road",West,1 Covered,2,Fortune Township,Freehold,Resale
"2 BHK Flat  for Sale in  Vip Road, Kolkata",₹52 Lac ,"₹8,176 per sqft ",700 sqft,Ready to Move,2,1 out of 4,,,,1,Anupama Housing Complex,Co-operative Society,Resale
"1 BHK Flat  for Sale in  Ramrajatala Station Road, Kolkata",₹22 Lac ,"₹4,752 per sqft ",463 sqft,Ready to Move,1,3 out of 6,,South - East,,1,,,Resale
"2 BHK Flat  for Sale in  Bally, Kolkata",₹17 Lac ,"₹2,810 per sqft ",500 sqft,Ready to Move,2,4 out of 4,,East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Narendrapur Rajpur Sonarpur, Kolkata",₹46 Lac ,"₹5,617 per sqft ",524 sqft,Ready to Move,2,9 out of 12,,South,,1,Amaya Residences,Freehold,Resale
"3 BHK Flat  for Sale in  Lake Range, Kolkata",₹4 Cr ,"₹16,842 per sqft ",1900 sqft,Ready to Move,3,4 out of 6,Main Road,South - East,"1 Covered,",,,Freehold,Resale
"4 BHK Flat  for Sale in  Baghajatin Colony, Kolkata",₹90 Lac ,"₹6,429 per sqft ",1400 sqft,Ready to Move,2,2 out of 6,,South,"4 Covered,",2,,Freehold,Resale
"5 BHK Flat  for Sale in  Baguiati, Kolkata",₹94.5 Lac ,"₹4,541 per sqft ",1800 sqft,Ready to Move,2,4 out of 4,"Garden/Park, Main Road",West,,2,,Freehold,Resale
"3 BHK Flat  for Sale in  Madhyamgram, Kolkata",₹70 Lac ,"₹6,648 per sqft ",850 sqft,Ready to Move,2,11 out of 12,Main Road,South - East,,1,Eternis,Freehold,Resale
"3 BHK Flat  for Sale in  Rajpur Sonarpur, Kolkata",₹1.18 Cr ,"₹7,712 per sqft ",1530 sqft,Ready to Move,3,3 out of 15,,,,,Primarc Southwinds,,Resale
"2 BHK Flat  for Sale in  International Airport, Dum Dum, Jessore Road, Kolkata",₹52 Lac ,"₹5,253 per sqft ",841 sqft,Ready to Move,2,4 out of 4,,North - East,1 Covered,1,Airport City I,Freehold,Resale
